Date,LSTM_Forecast
2025-07-31,324.26715
2025-08-01,326.46997
2025-08-04,329.33145
2025-08-05,332.4112
2025-08-06,335.60287
2025-08-07,338.85385
2025-08-08,342.12762
2025-08-11,345.39896
2025-08-12,348.6525
2025-08-13,351.8802
2025-08-14,355.07935
2025-08-15,358.2511
2025-08-18,361.3985
2025-08-19,364.52536
2025-08-20,367.63547
2025-08-21,370.73193
2025-08-22,373.81686
2025-08-25,376.89117
2025-08-26,379.95486
2025-08-27,383.00684
2025-08-28,386.04514
2025-08-29,389.0673
2025-09-01,392.07034
2025-09-02,395.05096
2025-09-03,398.00595
2025-09-04,400.93185
2025-09-05,403.8255
2025-09-08,406.68365
2025-09-09,409.50363
2025-09-10,412.28268
2025-09-11,415.01825
2025-09-12,417.70837
2025-09-15,420.35098
2025-09-16,422.94424
2025-09-17,425.48654
2025-09-18,427.97662
2025-09-19,430.41324
2025-09-22,432.79517
2025-09-23,435.12158
2025-09-24,437.39172
2025-09-25,439.60483
2025-09-26,441.7604
2025-09-29,443.85797
2025-09-30,445.8973
2025-10-01,447.87814
2025-10-02,449.8004
2025-10-03,451.6641
2025-10-06,453.46927
2025-10-07,455.21616
2025-10-08,456.90512
2025-10-09,458.53656
2025-10-10,460.11072
2025-10-13,461.6285
2025-10-14,463.09024
2025-10-15,464.49677
2025-10-16,465.84885
2025-10-17,467.1474
2025-10-20,468.39322
2025-10-21,469.58743
2025-10-22,470.7308
2025-10-23,471.82465
2025-10-24,472.8698
2025-10-27,473.86758
2025-10-28,474.8191
2025-10-29,475.72556
2025-10-30,476.5881
2025-10-31,477.40802
2025-11-03,478.1866
2025-11-04,478.9251
2025-11-05,479.6246
2025-11-06,480.28668
2025-11-07,480.91235
2025-11-10,481.50302
2025-11-11,482.05975
2025-11-12,482.58405
2025-11-13,483.07703
2025-11-14,483.53986
2025-11-17,483.97385
2025-11-18,484.38016
2025-11-19,484.75998
2025-11-20,485.1144
2025-11-21,485.44467
2025-11-24,485.75177
2025-11-25,486.03687
2025-11-26,486.3009
2025-11-27,486.545
2025-11-28,486.77014
2025-12-01,486.97723
2025-12-02,487.16742
2025-12-03,487.3413
2025-12-04,487.50003
2025-12-05,487.64432
2025-12-08,487.77512
2025-12-09,487.89307
2025-12-10,487.99893
2025-12-11,488.09366
2025-12-12,488.17776
2025-12-15,488.25198
2025-12-16,488.3169
