Date,LSTM_Forecast
2025-07-31,322.36624
2025-08-01,322.82327
2025-08-04,323.75073
2025-08-05,324.93887
2025-08-06,326.27393
2025-08-07,327.68768
2025-08-08,329.13547
2025-08-11,330.58588
2025-08-12,332.01648
2025-08-13,333.4116
2025-08-14,334.76077
2025-08-15,336.05786
2025-08-18,337.29996
2025-08-19,338.4867
2025-08-20,339.61954
2025-08-21,340.7014
2025-08-22,341.7356
2025-08-25,342.72604
2025-08-26,343.67664
2025-08-27,344.59094
2025-08-28,345.47238
2025-08-29,346.32407
2025-09-01,347.1483
2025-09-02,347.9473
2025-09-03,348.72266
2025-09-04,349.4758
2025-09-05,350.2077
2025-09-08,350.91916
2025-09-09,351.61075
2025-09-10,352.283
